dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
71;11;2023-07-10;1237;1030;66;1;16;0;12697.0;9.7;8.1;0.5;0.0;0.1;0.0
71;17;2023-07-10;33952;33280;7713;173;420;2;38673.0;87.8;86.1;19.9;0.4;1.1;0.0
71;24;2023-07-10;37336;36923;27516;612;516;9;36832.0;99.0;99.0;74.7;1.7;1.4;0.0
71;29;2023-07-10;21651;21415;15225;445;367;21;22666.0;95.5;94.5;67.2;2.0;1.6;0.1
71;39;2023-07-10;50699;50225;37310;1470;1206;64;56039.0;90.5;89.6;66.6;2.6;2.2;0.1
71;49;2023-07-10;58602;58256;47662;2980;2489;145;63983.0;91.6;91.0;74.5;4.7;3.9;0.2
71;59;2023-07-10;70556;70244;62204;9714;6407;906;75743.0;93.2;92.7;82.1;12.8;8.5;1.2
71;09;2023-07-10;869;706;3;0;0;0;28924.0;3.0;2.4;0.0;0.0;0.0;0.0
71;64;2023-07-10;36073;35965;33129;13498;7061;2353;38452.0;93.8;93.5;86.2;35.1;18.4;6.1
71;69;2023-07-10;36552;36414;34248;17299;9207;3367;38316.0;95.4;95.0;89.4;45.1;24.0;8.8
71;74;2023-07-10;36145;35985;34058;19407;10402;4059;38131.0;94.8;94.4;89.3;50.9;27.3;10.6
71;79;2023-07-10;23185;23050;21871;13494;7358;3483;26618.0;87.1;86.6;82.2;50.7;27.6;13.1
71;80;2023-07-10;41234;40600;36868;23239;12629;7092;45012.0;91.6;90.2;81.9;51.6;28.1;15.8
72;04;2023-07-10;13;3;0;0;0;0;28317.0;0.0;0.0;0.0;0.0;0.0;0.0
72;11;2023-07-10;1909;1513;58;0;15;0;14402.0;13.3;10.5;0.4;0.0;0.1;0.0
