dep;sexe;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
88;2;2023-07-10;150999;149731;121436;30681;16813;5661;82.3;81.6;66.2;16.7;9.2;3.1
89;1;2023-07-10;127753;126186;97683;26484;15599;6280;79.4;78.4;60.7;16.5;9.7;3.9
89;2;2023-07-10;136533;135144;108354;31104;18343;7482;80.7;79.9;64.0;18.4;10.8;4.4
90;1;2023-07-10;51467;50887;38650;8615;5055;1775;75.1;74.3;56.4;12.6;7.4;2.6
90;2;2023-07-10;53567;53062;41860;9839;5576;1956;77.4;76.7;60.5;14.2;8.1;2.8
91;1;2023-07-10;482091;475844;346892;76582;49741;19377;74.8;73.8;53.8;11.9;7.7;3.0
91;2;2023-07-10;507188;501395;376611;90804;58191;23000;75.6;74.8;56.2;13.5;8.7;3.4
92;1;2023-07-10;609572;603317;460734;102635;70351;25701;78.0;77.2;59.0;13.1;9.0;3.3
92;2;2023-07-10;670852;664655;522454;128169;86073;32662;77.8;77.1;60.6;14.9;10.0;3.8
93;1;2023-07-10;556686;547312;362622;57817;33250;10704;67.5;66.4;44.0;7.0;4.0;1.3
93;2;2023-07-10;567684;558948;381275;66422;37930;12519;66.5;65.5;44.6;7.8;4.4;1.5
94;1;2023-07-10;506156;500094;364661;77980;50875;18807;73.4;72.5;52.9;11.3;7.4;2.7
94;2;2023-07-10;547406;541675;407719;95793;61665;23410;73.5;72.8;54.8;12.9;8.3;3.1
95;1;2023-07-10;450844;444623;312395;60686;36521;13631;72.7;71.7;50.4;9.8;5.9;2.2
95;2;2023-07-10;474021;467990;339643;72161;42972;16160;72.2;71.3;51.7;11.0;6.5;2.5
971;1;2023-07-10;67863;65015;39437;4399;2057;554;40.0;38.4;23.3;2.6;1.2;0.3
971;2;2023-07-10;84215;81045;49608;4532;2046;467;41.4;39.8;24.4;2.2;1.0;0.2
972;1;2023-07-10;67514;65019;41151;4351;1749;545;42.4;40.8;25.8;2.7;1.1;0.3
972;2;2023-07-10;82938;80293;51718;4692;1830;509;43.4;42.0;27.1;2.5;1.0;0.3
973;1;2023-07-10;50507;45087;23069;1929;815;192;35.6;31.8;16.3;1.4;0.6;0.1
973;2;2023-07-10;48346;44221;23175;1634;784;121;31.7;29.0;15.2;1.1;0.5;0.1
974;1;2023-07-10;275753;269428;173352;15994;5222;1916;67.1;65.5;42.2;3.9;1.3;0.5
974;2;2023-07-10;304635;298773;198465;15466;5048;1514;66.6;65.3;43.4;3.4;1.1;0.3
976;1;2023-07-10;71496;60460;22671;1095;836;57;50.1;42.4;15.9;0.8;0.6;0.0
976;2;2023-07-10;90108;78764;28759;947;1104;31;57.5;50.3;18.4;0.6;0.7;0.0
977;1;2023-07-10;5176;5025;3499;254;77;30;96.3;93.5;65.1;4.7;1.4;0.6
977;2;2023-07-10;3784;3673;2529;200;61;19;79.7;77.4;53.3;4.2;1.3;0.4
978;1;2023-07-10;6987;6565;3378;402;175;60;43.2;40.6;20.9;2.5;1.1;0.4
978;2;2023-07-10;7655;7285;3509;323;186;46;42.8;40.7;19.6;1.8;1.0;0.3
01;0;2023-07-10;493049;488417;371538;87567;52452;18024;74.1;73.4;55.8;13.2;7.9;2.7
02;0;2023-07-10;419878;415358;329138;79335;44654;17687;80.1;79.2;62.8;15.1;8.5;3.4
03;0;2023-07-10;274042;271471;222669;60840;34662;12447;82.6;81.8;67.1;18.3;10.4;3.8
04;0;2023-07-10;120596;118949;91212;23762;13809;5059;72.8;71.8;55.1;14.4;8.3;3.1
05;0;2023-07-10;110642;109210;83199;20983;12298;4349;78.4;77.4;59.0;14.9;8.7;3.1
06;0;2023-07-10;865939;854156;654851;161217;91432;36458;78.5;77.4;59.3;14.6;8.3;3.3
07;0;2023-07-10;253166;250419;194095;50921;29999;10606;76.5;75.7;58.7;15.4;9.1;3.2
08;0;2023-07-10;213462;211304;168848;43904;24856;9844;80.5;79.7;63.6;16.5;9.4;3.7
09;0;2023-07-10;115382;114015;89242;23060;13138;4576;75.4;74.5;58.3;15.1;8.6;3.0
10;0;2023-07-10;238489;236097;187124;46891;27265;9765;76.7;75.9;60.2;15.1;8.8;3.1
11;0;2023-07-10;292123;288610;226139;62010;36161;13873;76.9;76.0;59.5;16.3;9.5;3.7
12;0;2023-07-10;221191;218791;172344;43033;25602;7888;78.9;78.1;61.5;15.4;9.1;2.8
13;0;2023-07-10;1508453;1485414;1103333;243086;144139;50719;73.1;72.0;53.5;11.8;7.0;2.5
14;0;2023-07-10;583023;577595;469409;126707;78746;29988;83.9;83.1;67.5;18.2;11.3;4.3
15;0;2023-07-10;120029;118998;97838;25117;14484;4745;83.8;83.1;68.3;17.5;10.1;3.3
16;0;2023-07-10;288488;285548;232051;70237;41392;17522;82.4;81.5;66.2;20.1;11.8;5.0
17;0;2023-07-10;563460;557945;449690;144652;88752;38263;85.4;84.6;68.2;21.9;13.5;5.8
