dep;sexe;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
2A;1;2023-07-10;55348;54507;40786;7288;4450;1459;70.9;69.8;52.2;9.3;5.7;1.9
2A;2;2023-07-10;59256;58431;45037;7804;4676;1509;70.3;69.4;53.5;9.3;5.6;1.8
2B;1;2023-07-10;59284;58313;43934;8697;5246;1755;64.6;63.6;47.9;9.5;5.7;1.9
2B;2;2023-07-10;63965;63102;48905;9227;5517;1824;67.0;66.1;51.2;9.7;5.8;1.9
30;1;2023-07-10;281101;277301;209998;56576;34602;13339;77.4;76.4;57.8;15.6;9.5;3.7
30;2;2023-07-10;305560;301962;236983;63903;38745;14672;78.3;77.4;60.7;16.4;9.9;3.8
31;1;2023-07-10;530628;524743;395436;87858;55995;20046;75.1;74.2;55.9;12.4;7.9;2.8
31;2;2023-07-10;560640;555056;432610;103671;65282;23687;75.2;74.5;58.1;13.9;8.8;3.2
32;1;2023-07-10;75835;74924;59199;16228;9646;3475;80.9;79.9;63.1;17.3;10.3;3.7
32;2;2023-07-10;80573;79739;65243;18418;10718;3908;81.8;80.9;66.2;18.7;10.9;4.0
33;1;2023-07-10;645731;638018;491244;126724;81620;32587;80.1;79.2;60.9;15.7;10.1;4.0
33;2;2023-07-10;701506;694489;555518;155458;99293;39941;80.1;79.3;63.5;17.8;11.3;4.6
34;1;2023-07-10;445275;439475;331981;86110;54920;21468;76.5;75.5;57.1;14.8;9.4;3.7
34;2;2023-07-10;487820;482533;376596;99981;62950;23703;76.7;75.9;59.2;15.7;9.9;3.7
35;1;2023-07-10;434204;429766;332714;79145;50778;16835;80.3;79.4;61.5;14.6;9.4;3.1
35;2;2023-07-10;458916;455073;365398;97855;62836;21072;80.9;80.3;64.5;17.3;11.1;3.7
36;1;2023-07-10;85734;84835;69022;18727;10250;3819;82.4;81.6;66.4;18.0;9.9;3.7
36;2;2023-07-10;92696;91921;77541;22545;11714;4349;83.5;82.8;69.8;20.3;10.6;3.9
37;1;2023-07-10;240416;238071;188416;54826;34478;14758;81.5;80.7;63.9;18.6;11.7;5.0
37;2;2023-07-10;261939;259852;213778;67918;42548;18302;82.2;81.6;67.1;21.3;13.4;5.7
38;1;2023-07-10;495296;490128;367448;88955;55713;20367;78.8;78.0;58.4;14.1;8.9;3.2
38;2;2023-07-10;517191;512550;396980;102755;63714;23566;78.7;78.0;60.4;15.6;9.7;3.6
39;1;2023-07-10;97252;96182;73334;17710;10363;3441;77.5;76.7;58.5;14.1;8.3;2.7
39;2;2023-07-10;103729;102725;81242;20495;12104;4022;78.8;78.0;61.7;15.6;9.2;3.1
40;1;2023-07-10;171709;169848;133512;38372;23781;9287;83.9;83.0;65.3;18.8;11.6;4.5
40;2;2023-07-10;185704;184072;150199;44889;27586;10934;85.3;84.5;69.0;20.6;12.7;5.0
41;1;2023-07-10;131775;130394;104655;30290;17967;7573;83.4;82.5;66.2;19.2;11.4;4.8
41;2;2023-07-10;140854;139637;116005;35998;21126;8973;84.0;83.3;69.2;21.5;12.6;5.4
42;1;2023-07-10;284987;282103;211867;50911;30467;10221;76.6;75.8;57.0;13.7;8.2;2.7
42;2;2023-07-10;309045;306348;238915;60904;35774;12329;78.1;77.4;60.4;15.4;9.0;3.1
43;1;2023-07-10;86704;85799;64515;13615;7920;2315;77.5;76.7;57.7;12.2;7.1;2.1
43;2;2023-07-10;91928;91131;70793;14847;8382;2488;79.7;79.0;61.4;12.9;7.3;2.2
44;1;2023-07-10;573954;568084;437233;112775;74874;28156;79.9;79.1;60.8;15.7;10.4;3.9
44;2;2023-07-10;609983;604790;484350;140193;92870;35680;80.3;79.6;63.8;18.5;12.2;4.7
45;1;2023-07-10;260587;257593;200543;53991;32909;14039;77.9;77.0;60.0;16.1;9.8;4.2
45;2;2023-07-10;278829;276157;222978;65123;39164;16655;79.3;78.5;63.4;18.5;11.1;4.7
46;1;2023-07-10;66224;65403;51318;14330;8522;3171;78.0;77.0;60.4;16.9;10.0;3.7
46;2;2023-07-10;71512;70747;57566;16506;9712;3487;79.8;79.0;64.2;18.4;10.8;3.9
47;1;2023-07-10;126406;124784;96018;23987;13750;5078;80.1;79.1;60.9;15.2;8.7;3.2
47;2;2023-07-10;137621;136101;108646;28363;16199;5888;80.3;79.4;63.4;16.6;9.5;3.4
48;1;2023-07-10;28872;28535;21802;4988;2889;812;75.3;74.4;56.9;13.0;7.5;2.1
48;2;2023-07-10;29406;29137;22863;5310;2968;792;76.9;76.2;59.8;13.9;7.8;2.1
49;1;2023-07-10;323116;319909;248815;64798;40041;14922;80.6;79.8;62.0;16.2;10.0;3.7
49;2;2023-07-10;343833;341146;274772;78991;48633;18648;81.1;80.4;64.8;18.6;11.5;4.4
50;1;2023-07-10;205684;203475;163729;42953;26010;9371;85.8;84.9;68.3;17.9;10.9;3.9
50;2;2023-07-10;218346;216557;181164;51623;30700;10968;86.8;86.1;72.0;20.5;12.2;4.4
51;1;2023-07-10;213630;211247;165732;43516;25896;10618;78.7;77.8;61.1;16.0;9.5;3.9
51;2;2023-07-10;231507;229392;186853;53037;31063;12756;79.5;78.8;64.2;18.2;10.7;4.4
52;1;2023-07-10;65488;64753;51410;12638;6903;2547;80.4;79.5;63.1;15.5;8.5;3.1
52;2;2023-07-10;70131;69548;57586;15016;7979;2884;82.6;81.9;67.8;17.7;9.4;3.4
53;1;2023-07-10;124259;122972;96877;22059;12817;3805;82.3;81.4;64.1;14.6;8.5;2.5
53;2;2023-07-10;128444;127311;103692;25694;14882;4479;83.0;82.2;67.0;16.6;9.6;2.9
54;1;2023-07-10;274530;271309;212926;54814;35188;13430;77.3;76.4;59.9;15.4;9.9;3.8
54;2;2023-07-10;295575;292829;238995;66442;41759;16570;78.7;77.9;63.6;17.7;11.1;4.4
55;1;2023-07-10;71259;70381;55785;14590;8314;3138;80.5;79.5;63.0;16.5;9.4;3.5
55;2;2023-07-10;74781;74035;61140;16736;9086;3358;83.4;82.6;68.2;18.7;10.1;3.7
56;1;2023-07-10;314020;310811;243969;68598;41874;15814;84.0;83.2;65.3;18.4;11.2;4.2
56;2;2023-07-10;338868;336005;274824;82470;49226;18800;85.3;84.6;69.2;20.8;12.4;4.7
57;1;2023-07-10;394817;390340;303626;67074;39053;12793;77.3;76.4;59.4;13.1;7.6;2.5
57;2;2023-07-10;418286;414467;333064;75972;43034;13891;78.4;77.7;62.4;14.2;8.1;2.6
58;1;2023-07-10;79137;78310;63657;18825;10133;4170;82.6;81.8;66.5;19.7;10.6;4.4
58;2;2023-07-10;86550;85775;72482;22967;12280;5149;83.5;82.8;70.0;22.2;11.9;5.0
59;1;2023-07-10;975954;965028;744608;173712;104082;39214;77.7;76.8;59.3;13.8;8.3;3.1
59;2;2023-07-10;1051442;1041471;832951;212249;125978;47661;77.9;77.1;61.7;15.7;9.3;3.5
